entity,item,entity_type,context
Artorias the Abysswalker,Gauntlets of Artorias,WORK_OF_ART,"Gauntlets of Artorias the Abysswalker,
one of Gwyn's four knights. The death of the their owner can be surmised from the corrosive Dark of the Abyss,
which has compromised their protective utility."
Logan,Big Hat,WORK_OF_ART,"Gigantic hat worn by the great sorcerer
Logan. It completely hid his face, which led
to his nickname ""Big Hat."" Famously antisocial, Logan used it to block
out noise and people's stares so he could
fo..."
Logan,Big Hat,WORK_OF_ART,"Gigantic hat worn by the great sorcerer
Logan. It completely hid his face, which led
to his nickname ""Big Hat."" Famously antisocial, Logan used it to block
out noise and people's stares so he could
fo..."
Logan,Sage Robe,WORK_OF_ART,"Robe worn by Big Hat Logan. It is said to
have been from his apprentice days at Dragon
School, but it is so worn out, no one knows
what it originally looked like. Logan, who cared little for his appea..."
Black Iron Tarkus,Black Iron Helm,ORG,"Helm of Black Iron Tarkus, a knight known
for his great strength. Built of a special black iron and
providing strong defense, notably
against fire, but so terrible heavy to be
unwieldy to all but Tark..."
Black Iron Tarkus,Black Iron Armor,ORG,"Armor of Black Iron Tarkus, a knight
known for his great strength. Built of a special black iron and
providing strong defense, notably
against fire, but so terrible heavy to be
unwieldy to all but Tar..."
Black Iron Tarkus,Black Iron Gauntlets,ORG,"Gauntlets of Black Iron Tarkus, a knight
known for his great strength. Built of a special black iron and
providing strong defense, notably
against fire, but so terrible heavy to be
unwieldy to all but..."
the Undead Church,Gargoyle Helm,ORG,"Helm of the gargoyle, an enchanted creature
that guarded the Bell of Awakening in the
belfry of the Undead Church. This bronze helm was for mere appearance's
sake, as gargoyle skin is naturally hard.
..."
Blighttown,Blighttown Key,PERSON,"Key to Blighttown from the Depths of the
Undead Burg. Swallowed by the Gaping Dragon. As its name suggests, Blighttown is a place
of great pestilence. Even the polluted
inhabitants of the Depths are a..."
New Londo,Key to New Londo Ruins,GPE,"Key to the iron bars separating the ruins of
New Londo and Drake Valley. The ruins of New Londo were blocked off,
for the cursed ghosts posed danger to life
and spirit, and the legends speak of a
terr..."
New Londo,Key to New Londo Ruins,GPE,"Key to the iron bars separating the ruins of
New Londo and Drake Valley. The ruins of New Londo were blocked off,
for the cursed ghosts posed danger to life
and spirit, and the legends speak of a
terr..."
New Londo,Key to the Seal,GPE,"Key to the floodgates of New Londo, which seal away the Four Kings who fell to Dark. The Sealers flooded New Londo to banish the Darkwraiths and the Four Kings. The agonizing decision was made with th..."
New Londo,Key to the Seal,GPE,"Key to the floodgates of New Londo, which seal away the Four Kings who fell to Dark. The Sealers flooded New Londo to banish the Darkwraiths and the Four Kings. The agonizing decision was made with th..."
New Londo,Dark Mask,GPE,"Mask of the Darkwraiths, former knights of
New Londo who descended into Dark. Some say the skeletal mask of an ancient
Darkwraith is partially fused with the flesh
of its face."
New Londo,Mask of the Sealer,GPE,"Mask of the sorcerers who flooded New Londo
to seal away the Darkwraiths, and the
Four Kings who descended into Dark. It symbolizes their resolve to keep the seal
shut forever and their atonement for ..."
New Londo,Mask of the Sealer,GPE,"Mask of the sorcerers who flooded New Londo
to seal away the Darkwraiths, and the
Four Kings who descended into Dark. It symbolizes their resolve to keep the seal
shut forever and their atonement for ..."
New Londo,Crimson Robe,GPE,"Robe of the sorcerers who flooded
New Londo to seal away the Dark wraiths,
and the Four Kings who descended into Dark. The Sealers were once known as healers,
and the bright crimson was a symbol of th..."
New Londo,Dark Armor,GPE,"Armor of the Darkwraiths, former knights of
New Londo who descended into Dark. Their armor transformed, and remains a
symbol of the Dark servants and their
diabolical art of Lifedrain."
New Londo,Crimson Gloves,GPE,"Gloves of the sorcerers who flooded
New Londo to seal away the Dark wraiths,
and the Four Kings who descended into Dark. The Sealers were once known as healers, and
the bright crimson was a symbol of ..."
New Londo,Dark Gauntlets,GPE,"Gauntlets of the Darkwraiths, former knights
of New Londo who descended into Dark. Their gauntlets transformed, and remain
symbol of the Dark servants and their
diabolical art of Lifedrain."
New Londo,Crimson Waistcloth,GPE,"Waistcloth of the sorcerers who flooded
New Londo to seal away the Darkwraiths,
and the Four Kings who descended into Dark. The Sealers were once known as healers, and
the bright crimson was a symbol ..."
New Londo,Dark Leggings,GPE,"Leggings of the Darkwraiths, former knights
of New Londo who descended into Dark. Their leggings transformed, and remain a
symbol of the Dark servants and their
diabolical art of Lifedrain."
the Undead Burg,Basement Key,PRODUCT,"Opens the narrow passage leading below
at the far face of the great bridge in
the Undead Burg. The lower Undead Burg is a treacherous place.
Do not turn your back on the wily thieves, or
the wild dogs..."
the Undead Burg,Watchtower Basement Key,PRODUCT,"Key to the basement of the watchtower in
the Undead Burg. The basement of the watchtower forms a stone
cell. There are rumors of a hero turned
Hollow who was locked away by a dear friend.
For his own ..."
Gwyndolin,Darkmoon Blade Covenant Ring,PERSON,"Ring granted to those bound by the
Darkmoon Blade Covenant.
Answer Dark Sun Gwyndolin's summoning. Gwyndolin, all too aware of his repulsive,
frail appearance, created the illusion of
a sister Gwyneve..."
Gwyndolin,Darkmoon Seance Ring,PERSON,"This ring is granted to adherents of
Gwyndolin, Darkmoon deity and
last born of Gwyn, Lord of Sunlight.
Grants additional magic and attunement slots. The Dark Sun Gwyndolin is the only remaining
deity..."
Gwyndolin,Crown of the Dark Sun,PERSON,"Crown of the Dark Sun Gwyndolin, protector
of the forsaken city of Anor Londo. This crown of the gods demands faith
immeasurable of its wearer, but it is imbued
with Darkmoon power that enhances all m..."
Gwyndolin,Moonlight Robe,PERSON,"Robe of the Dark Sun Gwyndolin, protector
of the forsaken city of Anor Londo. The power of the moon was strong in
Gwyndolin, and thus he was raised as a
daughter. His magic garb is silk-thin
and hardl..."
Gwyndolin,Moonlight Gloves,PERSON,"Gloves of the Dark Sun Gwyndolin, protector
of the forsaken city of Anor Londo. The power of the moon was strong in
Gwyndolin, and thus he was raised as a
daughter. His magic garb is silk-thin,
and ha..."
Gwyndolin,Moonlight Waistcloth,PERSON,"Waistcloth of the Dark Sun Gwyndolin,
protector of the forsaken city of Anor Londo. The power of the moon was strong in
Gwyndolin, and thus he was raised as a
daughter. His magic garb is silk-thin,
an..."
Darkmoon,Blue Eye Orb,ORG,"Online play item.
Invade world of player in Book of the Guilty.
Subdue player to acquire Souvenir of Reprisal.
(Only Covenanter can use the item) These mystical orbs are granted to
Blades of the Darkm..."
Darkmoon,Darkmoon Seance Ring,ORG,"This ring is granted to adherents of
Gwyndolin, Darkmoon deity and
last born of Gwyn, Lord of Sunlight.
Grants additional magic and attunement slots. The Dark Sun Gwyndolin is the only remaining
deity..."
Darkmoon,Crown of the Dark Sun,ORG,"Crown of the Dark Sun Gwyndolin, protector
of the forsaken city of Anor Londo. This crown of the gods demands faith
immeasurable of its wearer, but it is imbued
with Darkmoon power that enhances all m..."
Dark,Key to New Londo Ruins,ORG,"Key to the iron bars separating the ruins of
New Londo and Drake Valley. The ruins of New Londo were blocked off,
for the cursed ghosts posed danger to life
and spirit, and the legends speak of a
terr..."
Dark,Key to the Seal,ORG,"Key to the floodgates of New Londo, which seal away the Four Kings who fell to Dark. The Sealers flooded New Londo to banish the Darkwraiths and the Four Kings. The agonizing decision was made with th..."
Dark,Dark Mask,GPE,"Mask of the Darkwraiths, former knights of
New Londo who descended into Dark. Some say the skeletal mask of an ancient
Darkwraith is partially fused with the flesh
of its face."
Dark,Mask of the Sealer,GPE,"Mask of the sorcerers who flooded New Londo
to seal away the Darkwraiths, and the
Four Kings who descended into Dark. It symbolizes their resolve to keep the seal
shut forever and their atonement for ..."
Dark,Crimson Robe,GPE,"Robe of the sorcerers who flooded
New Londo to seal away the Dark wraiths,
and the Four Kings who descended into Dark. The Sealers were once known as healers,
and the bright crimson was a symbol of th..."
Dark,Dark Armor,GPE,"Armor of the Darkwraiths, former knights of
New Londo who descended into Dark. Their armor transformed, and remains a
symbol of the Dark servants and their
diabolical art of Lifedrain."
Dark,Dark Armor,ORG,"Armor of the Darkwraiths, former knights of
New Londo who descended into Dark. Their armor transformed, and remains a
symbol of the Dark servants and their
diabolical art of Lifedrain."
Dark,Crimson Gloves,GPE,"Gloves of the sorcerers who flooded
New Londo to seal away the Dark wraiths,
and the Four Kings who descended into Dark. The Sealers were once known as healers, and
the bright crimson was a symbol of ..."
Dark,Dark Gauntlets,GPE,"Gauntlets of the Darkwraiths, former knights
of New Londo who descended into Dark. Their gauntlets transformed, and remain
symbol of the Dark servants and their
diabolical art of Lifedrain."
Dark,Dark Gauntlets,ORG,"Gauntlets of the Darkwraiths, former knights
of New Londo who descended into Dark. Their gauntlets transformed, and remain
symbol of the Dark servants and their
diabolical art of Lifedrain."
Dark,Crimson Waistcloth,GPE,"Waistcloth of the sorcerers who flooded
New Londo to seal away the Darkwraiths,
and the Four Kings who descended into Dark. The Sealers were once known as healers, and
the bright crimson was a symbol ..."
Dark,Dark Leggings,GPE,"Leggings of the Darkwraiths, former knights
of New Londo who descended into Dark. Their leggings transformed, and remain a
symbol of the Dark servants and their
diabolical art of Lifedrain."
Dark,Dark Leggings,ORG,"Leggings of the Darkwraiths, former knights
of New Londo who descended into Dark. Their leggings transformed, and remain a
symbol of the Dark servants and their
diabolical art of Lifedrain."
Gwyn,Soul of Gwyndolin,ORG,"Soul of Darkmoon Gwyndolin, god of the Dark Sun and guardian of deserted Anor Londo. Special beings have special souls.
Use the soul of Gwyn's lastborn to acquire a huge amount of souls, or to create ..."
Gwyn,Wolf Ring,ORG,"One of the special rings granted to the four knights of Gwyn.
The wolf ring belongs to Artorias the Abysswalker.
Artorias had an unbendable will of steel,
and was unmatched with a greatsword."
Gwyn,Gough`s Helm,ORG,"Helm of Hawkeye Gough,
one of Gwyn's Four Knights.
Received as a decoration of knightly honor. A helm crafted especially for the honorable Hawkeye Gough,
only the eye holes were packed with tree resin..."
Gwyn,Helm of Artorias,ORG,"Helm of Artorias the Abysswalker,
one of Gwyn's four knights. The death of the helm's owner can be surmised from the corrosive Dark of the Abyss,
and the musty azure-blue tassel, once a symbol of prid..."
Gwyn,Porcelain Mask,ORG,"Mask of the Lord's Blade Ciaran,
one of Gwyn's Four Knights. The cyclops headpiece is common to all of the Lord's Blades, but Ciaran was determined
to earn this soft porcelain mask as a unique decorat..."
Gwyn,Armor of Artorias,ORG,"Armor of Artorias the Abysswalker,
one of Gwyn's four knights. The death of the armor's owner can be surmised from the corrosive Dark of the Abyss,
and the tattered azure-blue cape, once a symbol of p..."
Gwyn,Gough`s Armor,ORG,"Armor of Hawkeye Gough,
one of Gwyn's Four Knights. Armor donned by Gough since his days as a dragonslayer.
The medallion, bequeathed by the Lord Himself,
and the dragon bone pauldrons are symbols of ..."
Gwyn,Lord`s Blade Robe,ORG,"Robe of the Lord's Blade Ciaran,
one of Gwyn's Four Knights. A robe common to all of the Lord's Blades,
These deadly women shift nimbly between layers of darkness,
etching streaks of gold into the nig..."
Gwyn,Gauntlets of Artorias,ORG,"Gauntlets of Artorias the Abysswalker,
one of Gwyn's four knights. The death of the their owner can be surmised from the corrosive Dark of the Abyss,
which has compromised their protective utility."
Gwyn,Gough`s Gauntlets,ORG,"Gauntlets of Hawkeye Gough,
one of Gwyn's Four Knights. Received as a decoration of honor.
Crafted of similar material to the gauntlets worn by the Silver Knights."
Gwyn,Lord`s Blade Gloves,ORG,"Gloves worn by the Lord's Blade Ciaran, one of Gwyn's four knights. Gloves common to all of the Lord's Blades.
These deadly women shift nimbly between layers of darkness,
etching streaks of gold into ..."
Gwyn,Gough`s Leggings,ORG,"Leggings of Hawkeye Gough,
one of Gwyn's Four Knights. Received as a decoration of honor.
Crafted of similar material to the gauntlets worn by the Silver Knights."
Gwyn,Leggings of Artorias,ORG,"Leggings of Artorias the Abysswalker,
one of Gwyn's four knights. The death of the their owner can be surmised from the corrosive Dark of the Abyss,
which has compromised their protective utility."
Gwyn,Lord`s Blade Waistcloth,ORG,"Waistcloth worn by the Lord's Blade Ciaran,
one of Gwyn's four knights. Waistcloth common to all of the Lord's Blades.
These deadly women shift nimbly between layers of darkness,
etching streaks of go..."
Abyss,Guardian Soul,PERSON,"Soul of the white winged lion sanctuary watchkeeper,
who dreaded the spread of the Abyss. The Guardian exhibited traits of several
animals other than lions, suggesting that
it was no ordinary beast, b..."
Abyss,Soul of Artorias,PERSON,"Soul of Lord Gwyn's Knight Artorias,
who was consumed by the Abyss. The legend that Artorias repelled the Abyss
only told half the story. It seems that he was defeated, and his
honor preserved, by som..."
Abyss,Soul of Artorias,PERSON,"Soul of Lord Gwyn's Knight Artorias,
who was consumed by the Abyss. The legend that Artorias repelled the Abyss
only told half the story. It seems that he was defeated, and his
honor preserved, by som..."
Abyss,Soul of Artorias,PERSON,"Soul of Lord Gwyn's Knight Artorias,
who was consumed by the Abyss. The legend that Artorias repelled the Abyss
only told half the story. It seems that he was defeated, and his
honor preserved, by som..."
Abyss,Soul of Manus,PERSON,"Soul of Manus, Father of the Abyss.
This extraordinary soul is a viscous,
lukewarm lump of gentle humanity. Ancient Manus was clearly once human.
But he became the Father of the Abyss
after his humani..."
Abyss,Soul of Manus,PERSON,"Soul of Manus, Father of the Abyss.
This extraordinary soul is a viscous,
lukewarm lump of gentle humanity. Ancient Manus was clearly once human.
But he became the Father of the Abyss
after his humani..."
Abyss,Silver Pendant,PERSON,"One of the ancient treasures of Anor Londo.
Presented to Artorias for facing the Abyss.

Effectively deflects the Dark of the Abyss,
especially in its magic forms."
Abyss,Silver Pendant,PERSON,"One of the ancient treasures of Anor Londo.
Presented to Artorias for facing the Abyss.

Effectively deflects the Dark of the Abyss,
especially in its magic forms."
Abyss,Covenant Of Artorias,PERSON,"This ring symbolizes Knight Artorias's
covenant with the beasts of the Abyss. It's wearer, like Artorias himself, can
traverse the Abyss."
Abyss,Covenant Of Artorias,PERSON,"This ring symbolizes Knight Artorias's
covenant with the beasts of the Abyss. It's wearer, like Artorias himself, can
traverse the Abyss."
Abyss,Bloated Head,PERSON,"The head of an Oolacile resident whose
humanity went wild after being devoured
by the Dark of Manus, Father of the Abyss. The bloated head is fissured, the cracks
lined with innumerable tiny red eyeba..."
Abyss,Bloated Sorcerer Head,PERSON,"The head of an Oolacile resident whose
humanity went wild after being devoured
by the Dark of manus, Father of the Abyss. The bloated head is fissured, the cracks
lined with innumerable tiny red eyeba..."
Abyss,Helm of Artorias,PERSON,"Helm of Artorias the Abysswalker,
one of Gwyn's four knights. The death of the helm's owner can be surmised from the corrosive Dark of the Abyss,
and the musty azure-blue tassel, once a symbol of prid..."
Abyss,Witch Hat,PERSON,"Hat of the rogue witch Beatrice. Almost all magic users that employ a wand
studied at Dragon School, but Beatrice is
one of the few exceptions. She braved the
Abyss but did not live to tell of her ord..."
Abyss,Armor of Artorias,PERSON,"Armor of Artorias the Abysswalker,
one of Gwyn's four knights. The death of the armor's owner can be surmised from the corrosive Dark of the Abyss,
and the tattered azure-blue cape, once a symbol of p..."
Abyss,Witch Cloak,PERSON,"Cloak of the rogue witch Beatrice. Almost all magic users that employ catalysts
studied at Dragon School, but Beatrice is
one of the few exceptions. She braved the
Abyss but did not live to tell of he..."
Abyss,Gauntlets of Artorias,PERSON,"Gauntlets of Artorias the Abysswalker,
one of Gwyn's four knights. The death of the their owner can be surmised from the corrosive Dark of the Abyss,
which has compromised their protective utility."
Abyss,Witch Gloves,PERSON,"Gloves of the rogue witch Beatrice. Almost all magic users that employ catalysts
studied at Dragon School, but Beatrice is
one of the few exceptions. She braved the
Abyss but did not live to tell of h..."
Abyss,Leggings of Artorias,PERSON,"Leggings of Artorias the Abysswalker,
one of Gwyn's four knights. The death of the their owner can be surmised from the corrosive Dark of the Abyss,
which has compromised their protective utility."
Abyss,Witch Skirt,PERSON,"Skirt of the rogue witch Beatrice. Almost all magic users that employ catalysts
studied at Dragon School, but Beatrice is
one of the few exceptions. She braved the
Abyss but did not live to tell of he..."
Lifedrain,Dark Armor,GPE,"Armor of the Darkwraiths, former knights of
New Londo who descended into Dark. Their armor transformed, and remains a
symbol of the Dark servants and their
diabolical art of Lifedrain."
Lifedrain,Dark Gauntlets,GPE,"Gauntlets of the Darkwraiths, former knights
of New Londo who descended into Dark. Their gauntlets transformed, and remain
symbol of the Dark servants and their
diabolical art of Lifedrain."
Lifedrain,Dark Leggings,GPE,"Leggings of the Darkwraiths, former knights
of New Londo who descended into Dark. Their leggings transformed, and remain a
symbol of the Dark servants and their
diabolical art of Lifedrain."
Izalith,Gold-Hemmed Black Hood,PERSON,"Worn by the witch Quelana of Izalith, mother
of pyromancy and Daughter of Chaos. She wore this gold-hemmed black hood before
even the Age of Fire, and it offers strong
resistance versus fire, poison, ..."
Izalith,Sunlight Maggot,PERSON,"A loathsome parasite that inhabits Lost
Izalith. It is completely immobile, yet still
lives. When worn on the head, it emanates
blinding light, which is why it is known
as a Sunlight Maggot."
Izalith,Gold-Hemmed Black Cloak,PERSON,"Worn by the witch Quelana of Izalith, mother
of pyromancy and Daughter of Chaos. She wore this gold-hemmed black cloak
before even the Age of Fire, and it offers
strong resistance versus fire, poison,..."
Izalith,Gold-Hemmed Black Gloves,PERSON,"Worn by the witch Quelana of Izalith, mother
of pyromancy and Daughter of Chaos. She wore these gold lined black gloves
before even the Age of Fire, and they offer
strong resistance versus fire, poiso..."
Izalith,Gold-Hemmed Black Skirt,PERSON,"Worn by the witch Quelana of Izalith, mother
of pyromancy and Daughter of Chaos. She wore this gold-hemmed black skirt before
even the Age of Fire, and it offers strong
resistance versus fire, poison,..."
Oolacile,Broken Pendant,ORG,"Half of a broken stone pendant.
The vine appears to originate from Oolacile. A powerful magic can be sensed from this
ancient stone. Yet men of this time can
neither manipulate nor sense its power,
wh..."
Oolacile,Antiquated Dress,GPE,"A dress from the ancient fallen
land of Oolacile. Its ivory-colored
silk features elaborate embroidery
and is imbued with ancient magic power. One cannot expect any physical
protection from this garme..."
Oolacile,Antiquated Gloves,GPE,"Gloves from the ancient fallen
land of Oolacile. Their ivory-colored
silk features elaborate embroidery
and are imbued with ancient magic power. One cannot expect any physical
protection from these, a..."
Oolacile,Antiquated Skirt,GPE,"A skirt from the ancient fallen
land of Oolacile. Its ivory-colored
silk features elaborate embroidery
and is imbued with ancient magic power. One cannot expect any physical
protection from this garme..."
Quelaag,Fire Keeper Soul,ORG,"Soul of a long-lost Fire Keeper. Each Fire Keeper is a corporeal manifestation
of her bonfire, and a draw for the humanity
which is offered to her. Her soul is gnawed
by infinite humanity, and can boo..."
Quelaag,Soul of Quelaag,ORG,"Soul of Quelaag, once daughter of the Witch of Izalith, but now a chaos demon. Special beings have special souls, and Quelaag's soul contains all aspects of Chaos.
Use it to acquire a huge amount of s..."
Quelaag,Gold-Hemmed Black Hood,PERSON,"Worn by the witch Quelana of Izalith, mother
of pyromancy and Daughter of Chaos. She wore this gold-hemmed black hood before
even the Age of Fire, and it offers strong
resistance versus fire, poison, ..."
Quelaag,Gold-Hemmed Black Cloak,PERSON,"Worn by the witch Quelana of Izalith, mother
of pyromancy and Daughter of Chaos. She wore this gold-hemmed black cloak
before even the Age of Fire, and it offers
strong resistance versus fire, poison,..."
Quelaag,Gold-Hemmed Black Gloves,PERSON,"Worn by the witch Quelana of Izalith, mother
of pyromancy and Daughter of Chaos. She wore these gold lined black gloves
before even the Age of Fire, and they offer
strong resistance versus fire, poiso..."
Quelaag,Gold-Hemmed Black Skirt,PERSON,"Worn by the witch Quelana of Izalith, mother
of pyromancy and Daughter of Chaos. She wore this gold-hemmed black skirt before
even the Age of Fire, and it offers strong
resistance versus fire, poison,..."
Dusk,Crown of Dusk,PERSON,"Special magic crown bestowed upon
Dusk, Princess of Oolacile, upon her birth. Its wearer is blessed by all manner of magic.
This raises the power and effect of the wearer's
magic, but damage suffered ..."
Kindling,Rite of Kindling,GPE,"This secret rite allows bonfires to be
bolstered further with Kindling,
so that even more Estus can be collected. Kindling was a sacred rite passed down among clerics,
but all Undead can imitate the p..."
Kalameet,Calamity Ring,ORG,"A ring enchanted by the orange eye
of Kalameet, the bringer of calamity.
Doubles damage received by its wearer. A useless ring befitting of no finger.
Best left unknown, or at least well hidden."
Gough,Hello Carving,ORG,"Head carved of archtrees by Gough in his
imprisonment. Gough imparts an emotion to
each and every completed carving, which
helps him achieve personal enlightenment.
When a head is disturbed, it speaks..."
Gough,Very Good! Carving,ORG,"Head carved of archtrees by Gough in his
imprisonment. Gough imparts an emotion to
each and every completed carving, which
helps him achieve personal enlightenment.
When a head is disturbed, it speaks..."
Gough,Thank You Carving,ORG,"Head carved of archtrees by Gough in his
imprisonment. Gough imparts an emotion to
each and every completed carving, which
helps him achieve personal enlightenment.
When a head is disturbed, it speaks..."
Gough,I'm Sorry Carving,ORG,"Head carved of archtrees by Gough in his
imprisonment. Gough imparts an emotion to
each and every completed carving, which
helps him achieve personal enlightenment.
When a head is disturbed, it speaks..."
Gough,Help Me! Carving,ORG,"Head carved of archtrees by Gough in his
imprisonment. Gough imparts an emotion to
each and every completed carving, which
helps him achieve personal enlightenment.
When a head is disturbed, it speaks..."
Gough,Hawk Ring,ORG,"One of the special rings granted to the four
knights of Gwyn, The Hawk Ring belongs to
Hawkeye Gough, who led the Greatarchers. Boosts bow range, so that arrows fly like
they were shot by Gough's grea..."
Gough,Gough`s Helm,ORG,"Helm of Hawkeye Gough,
one of Gwyn's Four Knights.
Received as a decoration of knightly honor. A helm crafted especially for the honorable Hawkeye Gough,
only the eye holes were packed with tree resin..."
Gough,Gough`s Armor,ORG,"Armor of Hawkeye Gough,
one of Gwyn's Four Knights. Armor donned by Gough since his days as a dragonslayer.
The medallion, bequeathed by the Lord Himself,
and the dragon bone pauldrons are symbols of ..."
Darkwraiths,Key to the Seal,ORG,"Key to the floodgates of New Londo, which seal away the Four Kings who fell to Dark. The Sealers flooded New Londo to banish the Darkwraiths and the Four Kings. The agonizing decision was made with th..."
Darkwraiths,Dark Mask,ORG,"Mask of the Darkwraiths, former knights of
New Londo who descended into Dark. Some say the skeletal mask of an ancient
Darkwraith is partially fused with the flesh
of its face."
Darkwraiths,Mask of the Sealer,ORG,"Mask of the sorcerers who flooded New Londo
to seal away the Darkwraiths, and the
Four Kings who descended into Dark. It symbolizes their resolve to keep the seal
shut forever and their atonement for ..."
Darkwraiths,Dark Gauntlets,ORG,"Gauntlets of the Darkwraiths, former knights
of New Londo who descended into Dark. Their gauntlets transformed, and remain
symbol of the Dark servants and their
diabolical art of Lifedrain."
Darkwraiths,Crimson Waistcloth,ORG,"Waistcloth of the sorcerers who flooded
New Londo to seal away the Darkwraiths,
and the Four Kings who descended into Dark. The Sealers were once known as healers, and
the bright crimson was a symbol ..."
the Bell of Awakening,Gargoyle Helm,ORG,"Helm of the gargoyle, an enchanted creature
that guarded the Bell of Awakening in the
belfry of the Undead Church. This bronze helm was for mere appearance's
sake, as gargoyle skin is naturally hard.
..."
Scaleless,Six-Eyed Helm of the Channelers,ORG,"Helm of the Channelers, sorcerers that serve
Seath the Scaleless. The six eyes arranged
in two vertical columns compensate for
Seath's lack of sight. The heaviest of protective gear for
sorcerers, and..."
Hollow,Alluring Skull,PRODUCT,"A skull with meekly lingering souls.
Throw to shatter and spread souls to
attract certain types of enemies. Souls are a concentration of life, and the
life-starved Hollows are lured by its power.
Not ..."
Hollow,Cracked Red Eye Orb,ORG,"Online play item.
Invade another world.
(Hollows cannot use the item) Defeat the master of the world you have
invaded to acquire humanity. The Cracked Red Eye Orb allows players to
temporarily imitate..."
Hollow,Red Sign Soapstone,ORG,"Online play item.
Leaves invasion sign.
(Hollows cannot use the item) Be summoned to another world as a dark
spirit, and defeat the summoner to acquire
humanity.
Certain Darkwraiths resist their desce..."
Hollow,White Sign Soapstone,ORG,"Online play item.
Leave summon sign. Be summoned to another world as a phantom
through your sign, and defeat the area boss
to acquire humanity.
(Hollows cannot conduct summons) In Lordran, the flow of..."
Hollow,Cracked Red Eye Orb,ORG,"Online play item.
Invade another world.
(Hollows cannot use the item) Defeat the master of the world you have
invaded to acquire humanity. The Cracked Red Eye Orb allows players to
temporarily imitate..."
Hollow,Red Eye Orb,ORG,"Online play item.
Invade another world.
(Only Covenanter can use the item while Hollows cannot) Defeat the master of the world you have
invaded to acquire humanity. The Darkwraiths of Kaathe use this ..."
Hollow,Eye of Death,ORG,"Online play item.
Lure phantoms from other worlds.
(Only Covenanter can use the item while Hollows cannot) The dreadful Eyes of Death spread disaster
across neighboring worlds. Phantoms lured
to the h..."
Depths,Blighttown Key,PERSON,"Key to Blighttown from the Depths of the
Undead Burg. Swallowed by the Gaping Dragon. As its name suggests, Blighttown is a place
of great pestilence. Even the polluted
inhabitants of the Depths are a..."
Depths,Key to the Depths,PERSON,"Key opening the door from the lower
Undead Burg to the Depths. Those banished from the Undead Burg eke out
their existence in the Depths, a damp lair
with no trace of sunlight. Nearly half of
the Dept..."
Depths,Key to the Depths,PERSON,"Key opening the door from the lower
Undead Burg to the Depths. Those banished from the Undead Burg eke out
their existence in the Depths, a damp lair
with no trace of sunlight. Nearly half of
the Dept..."
Depths,Key to the Depths,PERSON,"Key opening the door from the lower
Undead Burg to the Depths. Those banished from the Undead Burg eke out
their existence in the Depths, a damp lair
with no trace of sunlight. Nearly half of
the Dept..."
Depths,Sewer Chamber Key,PERSON,"Key to the sewer chamber in the Depths. In any community, a few bad apples are sure
to exhibit insatiable greed. If they were
turned Undead, and banished to the Depths,
would they reconsider their way..."
Depths,Sewer Chamber Key,PERSON,"Key to the sewer chamber in the Depths. In any community, a few bad apples are sure
to exhibit insatiable greed. If they were
turned Undead, and banished to the Depths,
would they reconsider their way..."
Depths,Sack,PERSON,"Bloodstained patchwork sack by the Undead
man-eating cook lurking in the Depths. Two
eyeholes have been haphazardly cut out. It is unexpectedly soft and comfortable to
wear, but it is probably near me..."
Carim,Bloodbite Ring,ORG,"One of the infamous bite rings commissioned by Sir Arstor of Carim. Despite the dreadful rumors surrounding its creation, this ring is an unmistakable
asset, in its ability to help prevent bleeding."
Carim,Cursebite Ring,ORG,"One of the infamous bite rings
commissioned by Sir Arstor of Carim. Despite the dreadful rumors surrounding its
creation, this ring is an unmistakable asset,
in its ability to help prevent curses."
Carim,Poisonbite Ring,ORG,"One of the infamous bite rings commissioned by Sir Arstor of Carim. Despite the dreadful rumors surrounding its creation, this ring
is an unmistakable asset, in its ability to help prevent poison."
Carim,Red Tearstone Ring,ORG,The rare gem called tearstone has the uncanny ability to sense imminent death. This red tearstone from Carim boosts the attack of its wearer when in danger.
Thorolund,White Seance Ring,PRODUCT,"A divine ring entrusted to the head bishop
of the Way of White and apostle to
Allfather Lloyd, uncle to Lord Gwyn.
It grants additional attunement slots. The head bishop of the Way of White is the
gua..."
Thorolund,Priest`s Hat,PRODUCT,"Distinctive hat worn only by Way of White
priests in Thorolund. It is simply meant to show their position
within the hierarchy. It holds almost no
meaning in the land of Lordran."
Hollow,Crystalline Helm,ORG,"Helm worn by a Hollowed knight, who was
partially crystallized. The crystal power provides powerful defense,
but it cannot be used for long because it is
easily broken and cannot be repaired."
Hollow,Crystalline Armor,ORG,"Armor worn by a Hollowed knight, who was
partially crystallized. The crystal provides powerful defense, but
it cannot be used for long because it is
easily broken and cannot be repaired."
Hollow,Crystalline Gauntlets,ORG,"Gauntlets worn by a Hollowed knight, who was
partially crystallized. The crystal provides strong defense, but
they cannot be used for long because they
are easily broken and cannot be repaired."
Hollow,Crystalline Leggings,ORG,"Leggings worn by a Hollowed knight, who was
partially crystallized. The crystal power provides good defense, but
they cannot be used for long because they
are easily broken and cannot be repaired."
Dragon School,Witch Hat,ORG,"Hat of the rogue witch Beatrice. Almost all magic users that employ a wand
studied at Dragon School, but Beatrice is
one of the few exceptions. She braved the
Abyss but did not live to tell of her ord..."
