name,url,type,description
Dragon Torso Stone,http://darksouls.wikidot.com/dragon-torso-stone,Multiplayer Items,"Stone imbued with the power of the dragons.
Rite of apostles of the ancient dragons.
Gain torso of dragon. Roar like a dragon. The dragon apostles seek transcendence of
life itself, attainable by transformation
into an ancient dragon. This rite is only one
step, but it cannot be reversed until death."
Eye of Death,http://darksouls.wikidot.com/eye-of-death,Multiplayer Items,"Online play item.
Lure phantoms from other worlds.
(Only Covenanter can use the item while Hollows cannot) The dreadful Eyes of Death spread disaster
across neighboring worlds. Phantoms lured
to the host world may end up as victims,
allowing the Eyes of Death to multiply,
and leading to further proliferation of bane."
Souvenir of Reprisal,http://darksouls.wikidot.com/souvenir-of-reprisal,Multiplayer Items,"Blood-Drained, shrunken ear.
Souvenir taken for subduing the guilty. The knights called the Blades of the Darkmoon
punish the guilt-soaked offenders of the Gods
and take this as proof of their conquest.
The earless corpses of the guilty will be
left behind as a warning to others, inspiring
both fear and respect for the Gods. Such is
the eternal mandate of the Dark Sun."
Sunlight Medal,http://darksouls.wikidot.com/sunlight-medal,Multiplayer Items,"This faintly warm medal engraved with the
symbol of the Sun, is the ultimate honor,
awarded to those who summon the Warrior
of Sunlight and complete a goal. The symbol represents Lord Gwyn's firstborn,
who lost his deity status and was expunged
from the annals. But the old God of War
still watches closely over his warriors."
Hello Carving,http://darksouls.wikidot.com/hello-carving,Multiplayer Items,"Head carved of archtrees by Gough in his
imprisonment. Gough imparts an emotion to
each and every completed carving, which
helps him achieve personal enlightenment.
When a head is disturbed, it speaks,
reflecting the emotion conferred to it. This head says ""Hello"". Have another look.
Do you sense the amicability in its eyes?"
Very Good! Carving,http://darksouls.wikidot.com/very-good-carving,Multiplayer Items,"Head carved of archtrees by Gough in his
imprisonment. Gough imparts an emotion to
each and every completed carving, which
helps him achieve personal enlightenment.
When a head is disturbed, it speaks,
reflecting the emotion conferred to it. This head says ""Very Good!"". Have another
look. Does it not appear quite jovial?"
Thank You Carving,http://darksouls.wikidot.com/thank-you-carving,Multiplayer Items,"Head carved of archtrees by Gough in his
imprisonment. Gough imparts an emotion to
each and every completed carving, which
helps him achieve personal enlightenment.
When a head is disturbed, it speaks,
reflecting the emotion conferred to it. This head says ""Thank you"". Have another
look. Is this not the face of gratitude?"
I'm Sorry Carving,http://darksouls.wikidot.com/i-m-sorry-carving,Multiplayer Items,"Head carved of archtrees by Gough in his
imprisonment. Gough imparts an emotion to
each and every completed carving, which
helps him achieve personal enlightenment.
When a head is disturbed, it speaks,
reflecting the emotion conferred to it. This head says ""I'm Sorry"". Have another look.
Isn't that an expression of atonement?"
Help Me! Carving,http://darksouls.wikidot.com/help-me-carving,Multiplayer Items,"Head carved of archtrees by Gough in his
imprisonment. Gough imparts an emotion to
each and every completed carving, which
helps him achieve personal enlightenment.
When a head is disturbed, it speaks,
reflecting the emotion conferred to it. This head says ""Help me!"". Have another
look. Can you hear the desperate plea?"
Book of the Guilty,http://darksouls.wikidot.com/book-of-the-guilty,Multiplayer Items,"Online play item.
Check list of indicted players. The Goddess of Sin Velka oversees this list
of the guilty, who have disrespected the Gods
or their covenants, and shall one day face
the wrath of the Blades of the Darkmoon."
Dried Finger,http://darksouls.wikidot.com/dried-finger,Multiplayer Items,"Dried Finger with multiple knuckles.
Shriveled but still slightly warm. With this many knuckles,
surely it cannot be anything human."
Indictment,http://darksouls.wikidot.com/indictment,Multiplayer Items,"Slip sold by bishop of Velka, Goddess of Sin.
If you are killed by an invader, use this
to report the crime of the trespasser. The indicted player will be added to a list
of unfortunate souls who will one day face
the wrath of the Blades of the Darkmoon"
Servant Roster,http://darksouls.wikidot.com/servant-roster,Multiplayer Items,"Online play item.
Check servants of the Daughters of Chaos. Egg-bearer Eingyi keeps this roster of those
who serve his master, a Daughter of Chaos.
Eingyi praises those who offer significant
humanity to alleviate his master's suffering. But what is praise from Eingyi really worth?"
Bellowing Dragoncrest Ring,http://darksouls.wikidot.com/bellowing-dragoncrest-ring,Rings,"A special ring granted to only the most
accomplished sorcerers at the Vinheim Dragon
School. The ring is engraved with an everlasting
dragon, and boosts the strength of sorceries."
Bloodbite Ring,http://darksouls.wikidot.com/bloodbite-ring,Rings,"One of the infamous bite rings commissioned by Sir Arstor of Carim. Despite the dreadful rumors surrounding its creation, this ring is an unmistakable
asset, in its ability to help prevent bleeding."
Blue Tearstone Ring,http://darksouls.wikidot.com/blue-tearstone-ring,Rings,"The rare gem called tearstone has the
uncanny ability to sense imminent death. This blue tearstone from Catarina boosts
the defence of its wearer when in danger."
Calamity Ring,http://darksouls.wikidot.com/calamity-ring,Rings,"A ring enchanted by the orange eye
of Kalameet, the bringer of calamity.
Doubles damage received by its wearer. A useless ring befitting of no finger.
Best left unknown, or at least well hidden."
Cat Covenant Ring,http://darksouls.wikidot.com/cat-covenant-ring,Rings,"Ring granted to those bound by the
Forest Hunter covenant.
Answer Alvina's summoning. The white cat Alvina speaks a human tongue
and has lived since the early Age of Fire.
Alvina was a trusted friend of Knight
Artorias and the Great Wolf Sif."
Cloranthy Ring,http://darksouls.wikidot.com/cloranthy-ring,Rings,"This ancient ring, engraved with a large green flower, is of unknown origin. Hastens the regeneration of stamina."
Covenant Of Artorias,http://darksouls.wikidot.com/covenant-of-artorias,Rings,"This ring symbolizes Knight Artorias's
covenant with the beasts of the Abyss. It's wearer, like Artorias himself, can
traverse the Abyss."
Covetous Gold Serpent Ring,http://darksouls.wikidot.com/covetous-gold-serpent-ring,Rings,"The serpent is an imperfect dragon and symbol
of the Undead. Its habit of devouring prey
even larger than itself has led to an
association with gluttony. This gold ring, engraved with the serpent,
boosts its wearer's item discovery, so that
more items can be amassed."
Covetous Silver Serpent Ring,http://darksouls.wikidot.com/covetous-silver-serpent-ring,Rings,"The serpent is an imperfect dragon and symbol
of the Undead. Its habit of devouring prey
even larger than itself has led to an
association with gluttony. This silver ring, engraved with the serpent,
rewards its wearer with additional souls
for each kill."
Cursebite Ring,http://darksouls.wikidot.com/cursebite-ring,Rings,"One of the infamous bite rings
commissioned by Sir Arstor of Carim. Despite the dreadful rumors surrounding its
creation, this ring is an unmistakable asset,
in its ability to help prevent curses."
Darkmoon Blade Covenant Ring,http://darksouls.wikidot.com/darkmoon-blade-covenant-ring,Rings,"Ring granted to those bound by the
Darkmoon Blade Covenant.
Answer Dark Sun Gwyndolin's summoning. Gwyndolin, all too aware of his repulsive,
frail appearance, created the illusion of
a sister Gwynevere, who helps him guard
over Anor Londo. An unmasking of these
deities would be tantamount to blasphemy."
Darkmoon Seance Ring,http://darksouls.wikidot.com/darkmoon-seance-ring,Rings,"This ring is granted to adherents of
Gwyndolin, Darkmoon deity and
last born of Gwyn, Lord of Sunlight.
Grants additional magic and attunement slots. The Dark Sun Gwyndolin is the only remaining
deity in Anor Londo. His followers are few,
but their tasks are of vital importance."
Dark Wood Grain Ring,http://darksouls.wikidot.com/dark-wood-grain-ring,Rings,"This special ring crafted in an Eastern land is made
of gold, but with a wood grain crest on its surface. Agents of subterfuge in this faraway land are particularly
fond of the dark gold wood grain, which greatly
alters its wearer's rolling action."
Dusk Crown Ring,http://darksouls.wikidot.com/dusk-crown-ring,Rings,"This magic crown-shaped ring was granted to
Princess Dusk of Oolacile upon her birth. The ringstone allows its wearer to cast additional
sorceries, but at the cost of one-half of HP."
East Wood Grain Ring,http://darksouls.wikidot.com/east-wood-grain-ring,Rings,"This special ring crafted in an Eastern land
is made of gold, but with a wood grain crest
on its surface. The ring slows the loss of weapon durability
and is particularly useful to bearers of
delicate swords crafted in the East."
Flame Stoneplate Ring,http://darksouls.wikidot.com/flame-stoneplate-ring,Rings,"Stoneplates, the symbol of a true knight,
grant the strength to face various hardships. The red stoneplate symbolizes fire,
and boosts defense against flame."
Havel's Ring,http://darksouls.wikidot.com/havel-s-ring,Rings,"This ring was named after Havel the Rock,
Lord Gwyn's old battlefield compatriot. Havel's men wore the ring to express faith in
their leader and to carry a heavier load."
Hawk Ring,http://darksouls.wikidot.com/hawk-ring,Rings,"One of the special rings granted to the four
knights of Gwyn, The Hawk Ring belongs to
Hawkeye Gough, who led the Greatarchers. Boosts bow range, so that arrows fly like
they were shot by Gough's great bow,
which took down high-flying dragons."
Hornet Ring,http://darksouls.wikidot.com/hornet-ring,Rings,"One of the special rings granted to the four
knights of Gwyn. The Hornet Ring belonged
to the Lord's Blade Ciaran. By boosting critical attacks, its wearer can
annihilate foes, as Ciaran's dagger laid
waste to Lord Gwyn's enemies"
Leo Ring,http://darksouls.wikidot.com/leo-ring,Rings,"One of the special rings granted to the four
knights of Gwyn. The Leo Ring belonged to
Ornstein the Dragonslayer. This ring strengthens counters with pierce
weapons. His lugged spear is said
to have sliced a boulder in two."
Lingering Dragoncrest Ring,http://darksouls.wikidot.com/lingering-dragoncrest-ring,Rings,"A special ring granted to only the most accomplished
sorcerers at Vinheim Dragon School. The ring is engraved with a lingering dragon,
and boosts the length of the effects of sorceries."
Old Witch's Ring,http://darksouls.wikidot.com/old-witch-s-ring,Rings,"Old ring from an old witch. Engraved minutely with
indecipherable script, but seemingly useless."
Orange Charred Ring,http://darksouls.wikidot.com/orange-charred-ring,Rings,"An orange ring enchanted by a witch.
Reduces lava damage. Since his sores were inflamed by lava
from birth, his witch sisters gave him
this special ring. But fool that he is,
he readily dropped it, and from that spot,
a terrible centipede demon was born."
Poisonbite Ring,http://darksouls.wikidot.com/poisonbite-ring,Rings,"One of the infamous bite rings commissioned by Sir Arstor of Carim. Despite the dreadful rumors surrounding its creation, this ring
is an unmistakable asset, in its ability to help prevent poison."
Rare Ring of Sacrifice,http://darksouls.wikidot.com/rare-ring-of-sacrifice,Rings,"This mystical ring was created in a
sacrificial rite of Velka, the Goddess of Sin.
The magenta-shaded ring is especially rare.
Its wearer will lose nothing upon death, and
will be freed from any curse whatsoever, but the ring itself breaks.
""Die, lose nothing, nullify curse, ring breaks."""
Red Tearstone Ring,http://darksouls.wikidot.com/red-tearstone-ring,Rings,The rare gem called tearstone has the uncanny ability to sense imminent death. This red tearstone from Carim boosts the attack of its wearer when in danger.
Ring of Favor and Protection,http://darksouls.wikidot.com/ring-of-favor-and-protection,Rings,"A ring symbolizing the favor and
protection of the goddess Fina,
known in legend to possess ""fateful beauty."" This ring boosts its wearer's HP, stamina,
and max equipment load, but breaks if
ever removed."
Ring of Fog,http://darksouls.wikidot.com/ring-of-fog,Rings,"Those who befriend Alvina are given
this mysterious ring. It resembles a pearl with
its robust pure-white fog. The ring camouflages its wearer's
presence, helping to prevent detection."
Ring of Sacrifice,http://darksouls.wikidot.com/ring-of-sacrifice,Rings,"This mystical ring was created in a
sacrificial rite of Velka, the Goddess
of Sin. Its wearer will lose nothing upon death,
but the ring itself breaks."
Ring of Steel Protection,http://darksouls.wikidot.com/ring-of-steel-protection,Rings,"This ring belonged to the Knight King Rendal.
It grants its wearer protection by boosting
defense against physical attacks. Of the many legends surrounding the Knight
King Rendal, one of the more well-known
speaks of his standing down a giant drake
and slashing it to pieces."
Ring of the Evil Eye,http://darksouls.wikidot.com/ring-of-the-evil-eye,Rings,"According to legend, this ring contains the
spirit of the evil eye, a dark beast which
assaulted Astora. The strength of the evil eye does not waver,
and HP is absorbed from fallen enemies."
Ring of the Sun's Firstborn,http://darksouls.wikidot.com/ring-of-the-sun-s-firstborn,Rings,"Lord Gwyn's firstborn, who inherited the
sunlight, once wore this ancient ring.
Boosts the strength of miracles. Lord Gwyn's firstborn was a god of war,
but his foolishness led to a loss of the
annals, and rescinding of his deific status.
Today, even his name is not known."
Ring of the Sun Princess,http://darksouls.wikidot.com/ring-of-the-sun-princess,Rings,"This ring is granted to those who enter a
Covenant with Gwynevere, daughter of Lord Gywn
and the Princess of Sunlight. This slightly
warm ring boosts the synergy of miracles. The Princess of Sunlight Gwynevere left
Anor Londo along many other deities,
and later became wife to Flame God Flann."
Rusted Iron Ring,http://darksouls.wikidot.com/rusted-iron-ring,Rings,"This iron ring was used to shackle the guilty.
It is terribly rusted, and faintly stained with blood. Those who find this strange ring to their liking will
be pleased to find it easier to gain footing
on poor ground such as swamps."
Slumbering Dragoncrest Ring,http://darksouls.wikidot.com/slumbering-dragoncrest-ring,Rings,"This ring was secretly worn by a certain
surreptitious sorcerer at Vinheim Dragon
School. The ring is engraved with an everlasting
dragon in silent slumber, and masks all
sound emitting from its wearer."
Speckled Stoneplate Ring,http://darksouls.wikidot.com/speckled-stoneplate-ring,Rings,"Stoneplates, the symbol of a true knight,
grant the strength to face various hardships. The precious rare speckled stoneplate grants
a small boost to defence against magic,
flame and lightning."
Spell Stoneplate Ring,http://darksouls.wikidot.com/spell-stoneplate-ring,Rings,"Stoneplates, the symbol of a true knight, grant the strength to face various hardships
The blue stoneplate symbolizes souls, and boost defense against magic."
Thunder Stoneplate Ring,http://darksouls.wikidot.com/thunder-stoneplate-ring,Rings,"Stoneplates, the symbol of a true knight, grant the strength to face various hardships
The yellow stoneplate symbolizes souls, and boost defense against lightning."
Tiny Being's Ring,http://darksouls.wikidot.com/tiny-being-s-ring,Rings,"Ring made of an ancient tiny red jewel.
Grants small increase to HP. Rings grant powers large and small.
Their discovery, and effective use,
can make one's journey easier."
White Seance Ring,http://darksouls.wikidot.com/white-seance-ring,Rings,"A divine ring entrusted to the head bishop
of the Way of White and apostle to
Allfather Lloyd, uncle to Lord Gwyn.
It grants additional attunement slots. The head bishop of the Way of White is the
guardian of law and caste, and one of the
great royals of Thorolund."
Wolf Ring,http://darksouls.wikidot.com/wolf-ring,Rings,"One of the special rings granted to the four knights of Gwyn.
The wolf ring belongs to Artorias the Abysswalker.
Artorias had an unbendable will of steel,
and was unmatched with a greatsword."
Balder Helm,http://darksouls.wikidot.com/balder-helm,Head,"Helm worn by the knights of the ancient
kingdom of Balder. It is made from thick
iron plates. Balder was the homeland of the Knight
King Rendal, but it came to ruin after a
great many Undead were spawned."
Big Hat,http://darksouls.wikidot.com/big-hat,Head,"Gigantic hat worn by the great sorcerer
Logan. It completely hid his face, which led
to his nickname ""Big Hat."" Famously antisocial, Logan used it to block
out noise and people's stares so he could
focus on his own thoughts, but it does not
possess any special magic powers."
Black Iron Helm,http://darksouls.wikidot.com/black-iron-helm,Head,"Helm of Black Iron Tarkus, a knight known
for his great strength. Built of a special black iron and
providing strong defense, notably
against fire, but so terrible heavy to be
unwieldy to all but Tarkus himself."
Black Knight Helm,http://darksouls.wikidot.com/black-knight-helm,Head,"Helm of the Black Knights who haunt Lordran. The knights followed Lord Gwyn when he
departed to link the flame, but they
were burned to ashes in newly kindled
fire, wandering the world as disembodied
spirits ever after."
Black Sorcerer Hat,http://darksouls.wikidot.com/black-sorcerer-hat,Head,"Hat worn by the secret sorcerers at Vinheim
Dragon School. They secretly work with sound-based spells,
and never reveal themselves."
Bloated Head,http://darksouls.wikidot.com/bloated-head,Head,"The head of an Oolacile resident whose
humanity went wild after being devoured
by the Dark of Manus, Father of the Abyss. The bloated head is fissured, the cracks
lined with innumerable tiny red eyeballs
with a hard outside and mucous-filled
inside, no sane person could ever wear it."
Bloated Sorcerer Head,http://darksouls.wikidot.com/bloated-sorcerer-head,Head,"The head of an Oolacile resident whose
humanity went wild after being devoured
by the Dark of manus, Father of the Abyss. The bloated head is fissured, the cracks
lined with innumerable tiny red eyeballs
and accented by protuding brain parts.
It is lightly enchanted, suggesting that it
may have belonged to a sorcerer."
Brass Helm,http://darksouls.wikidot.com/brass-helm,Head,"Helm of the Darkmoon Knightess,
Fire Keeper of Anor Londo. After becoming Undead, she visited the Dark
Sun Gwyndolin at the Mausoleum of the Spiral
Depths, became a Blade of Darkmoon,
and assumed the flame-keeping duty. She
received this helm, which hides her hideous
form and helps her hunt the guilty."
Brigand Hood,http://darksouls.wikidot.com/brigand-hood,Head,"Hood worn by the brigands who raid mountain
hamlets and attack travelers. In addition to protecting against the blazing
sun, dust, and sand, it helps them tell
friend from foe in the heat of battle."
Catarina Helm,http://darksouls.wikidot.com/catarina-helm,Head,"Distinctively shaped helm worn by the
Knights of Catarina. Outside Catarina, they are often ridiculed for
their onion-like shape, infuriating the proud
knights, but the masterfully forged curved
design makes it very effective for parrying."
Chain Helm,http://darksouls.wikidot.com/chain-helm,Head,"A chainmail helm of thin interlinking rings
of steel. It is common throughout the human
world since it can be easily produced, it is not
too heavy, and offers good defense. Knights may favor flashy armor, but for
warriors on the battlefield, anything is
fine as long as it keeps them alive."
Cleric Helm,http://darksouls.wikidot.com/cleric-helm,Head,"Helm worn by the warrior clerics of the
Way of White, who are famous for being
unyielding in battle. It is rather substantial in size and weight, making
its wearer look even bigger than
he actually is."
Crown of Dusk,http://darksouls.wikidot.com/crown-of-dusk,Head,"Special magic crown bestowed upon
Dusk, Princess of Oolacile, upon her birth. Its wearer is blessed by all manner of magic.
This raises the power and effect of the wearer's
magic, but damage suffered by magic attack also rises."
Crown of the Dark Sun,http://darksouls.wikidot.com/crown-of-the-dark-sun,Head,"Crown of the Dark Sun Gwyndolin, protector
of the forsaken city of Anor Londo. This crown of the gods demands faith
immeasurable of its wearer, but it is imbued
with Darkmoon power that enhances all magic.
The image of the sun manifests Gwyndolin's
deep adoration of the sun."
Crown of the Great Lord,http://darksouls.wikidot.com/crown-of-the-great-lord,Head,"Crown of Gwyn, Lord of Cinder, who linked
the First Flame. Lord Gwyn, bearer of the ultimate soul,
divided that power among his great clan before
linking the flame. But he did keep his crown,
perhaps to preserve a symbol of the monarch,
for its actual power had fully subsided."
Crystalline Helm,http://darksouls.wikidot.com/crystalline-helm,Head,"Helm worn by a Hollowed knight, who was
partially crystallized. The crystal power provides powerful defense,
but it cannot be used for long because it is
easily broken and cannot be repaired."
Dark Mask,http://darksouls.wikidot.com/dark-mask,Head,"Mask of the Darkwraiths, former knights of
New Londo who descended into Dark. Some say the skeletal mask of an ancient
Darkwraith is partially fused with the flesh
of its face."
Dingy Hood,http://darksouls.wikidot.com/dingy-hood,Head,"Worn by the Fire Keeper at Firelink Shrine. It is thought to have once been the white
hood of a maiden, but smoke and ashes
from bonfires darkened it over the
years."
Eastern Helm,http://darksouls.wikidot.com/eastern-helm,Head,"A distinctive helm made in an Eastern land. Exquisitely crafted, this helm offers
excellent defense, particularly versus slash
attacks, which are one of the main threats in
battles in the East."
Elite Cleric Helm,http://darksouls.wikidot.com/elite-cleric-helm,Head,"Helm worn by the warrior clerics of the
Way of White, who are famous for being
unyielding in battle. Among such helms, those that were black
belonged to warrior clerics sent on missions,
many of whom were high-level priests."
Elite Knight Helm,http://darksouls.wikidot.com/elite-knight-helm,Head,"Helm of a nameless knight, perhaps an elite
knight of Astora. Although he was loath to give up on his
Undead mission, he perished at the Undead
Asylum, and went Hollow."
Fang Boar Helm,http://darksouls.wikidot.com/fang-boar-helm,Head,"Severed head of the fully-armored Fang Boar
taken by the one who killed it as proof of
his victory, just as the Gods once did with
the head of the ancient dragon. Can be worn on the head as a surprisingly
sound piece of protective gear."
Gargoyle Helm,http://darksouls.wikidot.com/gargoyle-helm,Head,"Helm of the gargoyle, an enchanted creature
that guarded the Bell of Awakening in the
belfry of the Undead Church. This bronze helm was for mere appearance's
sake, as gargoyle skin is naturally hard.
Little in the way of defense can be expected
from it."
Giant Helm,http://darksouls.wikidot.com/giant-helm,Head,"Helm of the giant sentinels of Anor Londo. Made from ancient brass, it also offers
protection versus non-physical attacks, but
due to its giant size, it is extremely heavy
for humans, and impedes stamina recovery."
Gold-Hemmed Black Hood,http://darksouls.wikidot.com/gold-hemmed-black-hood,Head,"Worn by the witch Quelana of Izalith, mother
of pyromancy and Daughter of Chaos. She wore this gold-hemmed black hood before
even the Age of Fire, and it offers strong
resistance versus fire, poison, and other
perils."
Golem Helm,http://darksouls.wikidot.com/golem-helm,Head,"Head of the Iron Golem, guardian of the
ancient Sen's Fortress, slayer of heroes who
ventured forth to Anor Londo. Without its core, it is a mere hunk of iron,
and can be equipped as solid protective gear,
but its immense weight hinders stamina
recovery."
Gough`s Helm,http://darksouls.wikidot.com/gough-s-helm,Head,"Helm of Hawkeye Gough,
one of Gwyn's Four Knights.
Received as a decoration of knightly honor. A helm crafted especially for the honorable Hawkeye Gough,
only the eye holes were packed with tree resin
by those who dismissed Gough as a brutish giant."
Guardian Helm,http://darksouls.wikidot.com/guardian-helm,Head,"Helm of the stone knights,
guardians of the forest sanctuary. The stone knights are golems animated by magic,
and their enchanted helms are oppressively heavy."
Havel`s Helm,http://darksouls.wikidot.com/havel-s-helm,Head,"Helm worn by Havel the Rock's warriors.
Carved from solid rock, its tremendous weight
is matched only by the defense it provides. Havel's warriors never flinched nor retreated
from battle. Those unfortunate enough to face
them were inevitably beaten to a pulp."
Helm of Artorias,http://darksouls.wikidot.com/helm-of-artorias,Head,"Helm of Artorias the Abysswalker,
one of Gwyn's four knights. The death of the helm's owner can be surmised from the corrosive Dark of the Abyss,
and the musty azure-blue tassel, once a symbol of pride and glory."
Helm of Favor,http://darksouls.wikidot.com/helm-of-favor,Head,"Helm of Lautrec the Embraced,
representing the goddess Fina's love. During his solitude, he forsook everything,
for he believed in the goddess's love for
him."
Helm of The Wise,http://darksouls.wikidot.com/helm-of-the-wise,Head,"A strange helm from the ancient land of Zena,
birthplace of the curious dealer Domhnall. The two horns are believed to symbolize
wisdom."
Helm of Thorns,http://darksouls.wikidot.com/helm-of-thorns,Head,"Helm of Kirk, knight of Thorns and notorious
member of the Darkwraiths. A dense patch of
thorns grows from its surface. It is a fitting item for the murderous Kirk,
for by simply wearing it and rolling, one can
damage enemies."
Hollow Soldier Helm,http://darksouls.wikidot.com/hollow-soldier-helm,Head,"Helm worn by Hollow soldiers. It may be old
and battered, but its iron construction makes
it quite sturdy. It is wise to wear a sturdy form of head
protection against arrows and other physical
threats."
Hollow Thief`s Hood,http://darksouls.wikidot.com/hollow-thief-s-hood,Head,"Hood worn by Hollow thieves.
Used to hide a guilty countenance."
Hollow Warrior Helm,http://darksouls.wikidot.com/hollow-warrior-helm,Head,"Helm worn by Hollow warriors. Although it is
made of iron, it is old, battered and worn
out. It is wise to wear a sturdy form of head
protection against arrows and other physical
threats."
Iron Helm,http://darksouls.wikidot.com/iron-helm,Head,"Helm of Solaire of Astora, Knight of
Sunlight. Of high quality, but lacking any
particular powers. Solaire's incredible prowess must have
come from rigorous training alone, for
his equipment exhibits no special traits."
Knight Helm,http://darksouls.wikidot.com/knight-helm,Head,"Helm of a lower-rank knight. Despite the
thin metal used, the grooved texture gives
it added protection."
Mage Smith Hat,http://darksouls.wikidot.com/mage-smith-hat,Head,"Hat worn by proper mage smiths who
studied at Vinheim Dragon School. Mage smiths learn their craft alongside
sorcerers, but apply their sorcery to
forging weapons with magic embers."
Maiden Hood,http://darksouls.wikidot.com/maiden-hood,Head,"White hood worn by traveling maidens. It is
part of their formal attire, regardless of
rank. It is soft and well-made, but does not offer
much in the way of defense, making it ill-
suited to use in battle."
Mask of the Child,http://darksouls.wikidot.com/mask-of-the-child,Head,"One of the three masks of the Pinwheel,
the necromancer who stole the power of the
Gravelord, and reigns over the Catacombs. This mask, belonging to the naive child,
slightly raises stamina recovery speed."
Mask of the Father,http://darksouls.wikidot.com/mask-of-the-father,Head,"One of the three masks of the Pinwheel,
the necromancer who stole the power of the
Gravelord, and reigns over the Catacombs. This mask, belonging to the valiant father,
slightly raises equipment load."
Mask of the Mother,http://darksouls.wikidot.com/mask-of-the-mother,Head,"One of the three masks of the Pinwheel,
the necromancer who stole the power of the
Gravelord, and reigns over the Catacombs. This mask, belonging to the kindly mother,
slightly raises HP."
Mask of the Sealer,http://darksouls.wikidot.com/mask-of-the-sealer,Head,"Mask of the sorcerers who flooded New Londo
to seal away the Darkwraiths, and the
Four Kings who descended into Dark. It symbolizes their resolve to keep the seal
shut forever and their atonement for all who
were sacrificed, but two of the three forsook
New Londo upon tiring of their duty."
Mask of Velka,http://darksouls.wikidot.com/mask-of-velka,Head,"Mask worn by pardoners serving Velka,
the Goddess of Sin. The pardoners listen to the confessions of
sinners, urging reflection and salvation.
Their masks symbolize separation from
worldly desires."
Ornstein`s Helm,http://darksouls.wikidot.com/ornstein-s-helm,Head,"Helm of the dragonslayer Ornstein, who
guards the cathedral in the forsaken city of
Anor Londo. Ornstein is believed to be the captain of the
Four Knights. His golden lion helm is imbued
with the power of lightning and should
provide good protection against it."
Painting Guardian Hood,http://darksouls.wikidot.com/painting-guardian-hood,Head,"Hood worn by the alabaster-clothed guardians
of the paintings in Anor Londo. Offer
substantial protection versus magic. They have guarded the Great Painting of
Ariamis for ages, passing their duty down
through generations, but the reason for
doing so passed from all memory long ago."
Paladin Helm,http://darksouls.wikidot.com/paladin-helm,Head,"Helm of Leeroy, Paladin of the Catacombs. Long ago, the Way of the White produced its
first Undead, a paladin in golden armor.
With the legendary treasures Grant and
Sanctus, Leeroy set out for Lordran,
Land of the Gods, in the first Undead
mission of the Way of White."
Pharis`s Hat,http://darksouls.wikidot.com/pharis-s-hat,Head,"Broad-brimmed hat favored by the archer hero
Pharis. Pharis was an accomplished archer, and though
he was human, he ranked alongside Hawkeye
Gough, one of the Four Knights of Lord
Gwyn. His hat is universally popular among
children."
Porcelain Mask,http://darksouls.wikidot.com/porcelain-mask,Head,"Mask of the Lord's Blade Ciaran,
one of Gwyn's Four Knights. The cyclops headpiece is common to all of the Lord's Blades, but Ciaran was determined
to earn this soft porcelain mask as a unique decoration of honor. The mask is lined with
ivory locks of hair."
Priest`s Hat,http://darksouls.wikidot.com/priest-s-hat,Head,"Distinctive hat worn only by Way of White
priests in Thorolund. It is simply meant to show their position
within the hierarchy. It holds almost no
meaning in the land of Lordran."
Royal Helm,http://darksouls.wikidot.com/royal-helm,Head,"Helm of Vamos, skeleton blacksmith of the
Catacombs. Partially made of gold, and
confers high resistance overall. The helm is believed to belong to an ancient
royal line, but only Vamos would know for
sure, and he shall never speak again."
Sack,http://darksouls.wikidot.com/sack,Head,"Bloodstained patchwork sack by the Undead
man-eating cook lurking in the Depths. Two
eyeholes have been haphazardly cut out. It is unexpectedly soft and comfortable to
wear, but it is probably near meaningless
in terms of defense."
Shadow Mask,http://darksouls.wikidot.com/shadow-mask,Head,"Black cloth mask worn by spooks from an
Eastern land. Designed so as not to hinder
their unique form of martial arts. While it sacrifices defense for the sake of
greater mobility, it does offer resistance
to bleeding and poison among other things,
perhaps due to the nature of their duty."
Silver Knight Helm,http://darksouls.wikidot.com/silver-knight-helm,Head,"Helm of the Silver Knights who protect Anor
Londo. When Lord Gwyn departed to link the Fire,
his knights split into two groups. The Silver
Knights remained in the forsaken capital in
the service of their goddess."
Six-Eyed Helm of the Channelers,http://darksouls.wikidot.com/six-eyed-helm-of-the-channelers,Head,"Helm of the Channelers, sorcerers that serve
Seath the Scaleless. The six eyes arranged
in two vertical columns compensate for
Seath's lack of sight. The heaviest of protective gear for
sorcerers, and imbued with magic."
Smough`s Helm,http://darksouls.wikidot.com/smough-s-helm,Head,"Helm of Smough, the Executioner, protector
of the cathedral at the forsaken city of Anor
Londo. It offers extremely high defense
and can be worn by humans, but not
without great difficulty."
Snickering Top Hat,http://darksouls.wikidot.com/snickering-top-hat,Head,"Black top hat worn by Marvellous Chester,
a man of mystery lost in the past. The wearer of this top hat cracks a dubious,
permanent grin. The Curse of Chester!"
Sorcerer Hat,http://darksouls.wikidot.com/sorcerer-hat,Head,"Hat worn by proper sorcerers who
studied at Vinheim Dragon School. The majority take pride in having studied at
the academy and look down on breaking the
formal dress code established for sorcerers."
Standard Helm,http://darksouls.wikidot.com/standard-helm,Head,"A sturdy helm made of iron. Very common
type of protective gear, it provides
a sound level of defense. It is wise to wear a sturdy form of head
protection against arrows and other physical
threats."
